Player_ID,Nome,Nome completo,Posição,Overall,Similaridade
231478,L. Martínez,Lautaro Javier Martínez,Atacante,87,0.9831416655515506
208093,Gerard Moreno,Gerard Moreno Balagueró,"Atacante, Meio campo",83,0.9803666496431168
223197,E. Ünal,Enes Ünal,Atacante,82,0.9790618379439611
196978,C. Wilson,Callum Wilson,Atacante,82,0.975426343949789
165153,K. Benzema,Karim Benzema,Atacante,90,0.970397401560374
202126,H. Kane,Harry Kane,Atacante,90,0.9702698847248877
231943,Richarlison,Richarlison de Andrade,"Atacante, Extremo",80,0.9673958050379869
193301,A. Lacazette,Alexandre Lacazette,Atacante,83,0.9661702262877239
245152,S. Giménez,Santiago Tomás Giménez,Atacante,78,0.9651873308885437
216816,G. Simeone,Giovanni Pablo Simeone,Atacante,78,0.9651116608494507
237321,M. Berisha,Mërgim Berisha,Atacante,78,0.9647385384083371
231184,Guruzeta,Gorka Guruzeta Rodríguez,Atacante,77,0.9642144206001613
228941,André Silva,André Miguel Valente da Silva,Atacante,80,0.9641876499032507
256612,Evanilson,Francisco Evanilson de Lima Barbosa,Atacante,78,0.963686973896792
238900,E. Demirović,Ermedin Demirović,"Atacante, Meio campo",75,0.9602127686867168
233731,A. Isak,Alexander Isak,"Atacante, Extremo",81,0.9586572443665354
192387,C. Immobile,Ciro Immobile,Atacante,85,0.9568927334772995
186200,F. Borini,Fabio Borini,"Atacante, Extremo, Meio campo",77,0.9556731829667577
236786,M. Terrier,Martin Terrier,"Atacante, Meio campo",81,0.9552178368873379
229188,V. Pavlidis,Vangelis Pavlidis,Atacante,78,0.9551540264854363
246186,Arthur Cabral,Arthur Mendonça Cabral,Atacante,80,0.9541209068489437
239085,E. Haaland,Erling Braut Haaland,Atacante,91,0.9528582696424962
234236,P. Schick,Patrik Schick,Atacante,83,0.9527346760879826
194765,A. Griezmann,Antoine Griezmann,Atacante,88,0.9526219591446553
20801,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,Atacante,86,0.9524839313383493
199069,V. Aboubakar,Vincent Paté Aboubakar,Atacante,79,0.9513892624748554
224458,Diogo Jota,Diogo José Teixeira da Silva,"Atacante, Extremo",85,0.9511120704942969
204529,M. Batshuayi,Michy Batshuayi Tunga,Atacante,77,0.9485853227565052
201153,Morata,Álvaro Borja Morata Martín,Atacante,83,0.9475164670413572
239250,Abel Ruiz,Abel Ruiz Ortega,Atacante,76,0.9464138448236006
210315,Raúl de Tomás,Raúl De Tomás Gómez,Atacante,79,0.9454464293413756
247463,F. Balogun,Folarin Balogun,Atacante,79,0.943765875495354
241788,M. Taremi,Mehdi Taremi,Atacante,82,0.9426448886432327
232293,V. Osimhen,Victor James Osimhen,Atacante,88,0.942601931646779
230430,Oswaldinato,Marvin Oswaldo Rangel Azevedo,Atacante,81,0.9421974553901132
246618,A. Hložek,Adam Hložek,"Atacante, Meio campo",77,0.9420479318161836
217998,C. Arango,Cristian Daniel Arango Duque,"Atacante, Meio campo",76,0.9412766649015283
232432,L. Jović,Luka Jović,Atacante,77,0.9400922522354211
213955,S. Azmoun,Sardar Azmoun,"Atacante, Meio campo",78,0.9388997017224782
200610,K. Volland,Kevin Volland,"Atacante, Meio campo",79,0.9388391645675812
222357,B. Embolo,Breel-Donald Embolo,Atacante,78,0.9378831733414245
216475,Morales,José Luis Morales Nogales,"Atacante, Meio campo",79,0.9378258635108748
241461,Ferran Torres,Ferran Torres García,"Atacante, Extremo",82,0.9377678608718327
198715,Sergio León,Sergio León Limones,Atacante,73,0.9367353366975766
209519,G. Laborde,Gaëtan Laborde,Atacante,81,0.935702419609839
236791,A. Barák,Antonín Barák,"Atacante, Meio campo",78,0.9352926627619104
246242,B. Dia,Boulaye Dia,"Atacante, Extremo",82,0.935244357874407
216531,Paulinho,João Paulo Dias Fernandes,Atacante,77,0.9351877283439599
244675,Sancet,Oihan Sancet Tirapu,"Atacante, Meio campo",81,0.9346614111544185
220018,A. Rebić,Ante Rebić,"Atacante, Extremo, Meio campo",77,0.9343924634454124
